category,title,product
 Camping and hiking,MEC Cabin 6-Person Tent,4.4 out of 5 stars with 30 reviews for MEC Cabin 6-Person Tent
 Camping and hiking,Therm-a-Rest NeoAir Trekker Sleeping Pad - Unisex,4.1 out of 5 stars with 8 reviews for Therm-a-Rest NeoAir Trekker Sleeping Pad - Unisex
 Camping and hiking,MEC Backpacking bundle: Tent + Sleeping Bag + Sleeping Pad,4.2 out of 5 stars with 39 reviews for MEC Backpacking bundle: Tent + Sleeping Bag + Sleeping Pad
 Camping and hiking,MEC Volt LT 2-Person Tent,3.9 out of 5 stars with 26 reviews for MEC Volt LT 2-Person Tent
 Camping and hiking,MEC Chowhouse Shelter,4.3 out of 5 stars with 26 reviews for MEC Chowhouse Shelter
 Camping and hiking,MEC Camp Table,5 out of 5 stars with 1 reviews for MEC Camp Table
 Camping and hiking,MSR Hubba Hubba NX 2-Person Tent (2019),3.2 out of 5 stars with 20 reviews for MSR Hubba Hubba NX 2-Person Tent (2019)
 Camping and hiking,MEC Trail 16 Daypack - Unisex,4 out of 5 stars with 10 reviews for MEC Trail 16 Daypack - Unisex
 Camping and hiking,MEC Boundary Light Down Jacket - Men's,No reviews yet. Be the first to write a review. MEC Boundary Light Down Jacket - Men's
 Camping and hiking,MEC Cabin 4-Person Tent,4.5 out of 5 stars with 32 reviews for MEC Cabin 4-Person Tent
 Camping and hiking,MEC VectAir Insulated LT Sleeping Pad - Unisex,4.5 out of 5 stars with 6 reviews for MEC VectAir Insulated LT Sleeping Pad - Unisex
 Camping and hiking,Vasque Breeze III Gore-Tex Boots - Women's,4.2 out of 5 stars with 54 reviews for Vasque Breeze III Gore-Tex Boots - Women's
 Camping and hiking,MEC Cross Wind 45+10 Backpack - Unisex,4.8 out of 5 stars with 4 reviews for MEC Cross Wind 45+10 Backpack - Unisex
 Camping and hiking,MEC Boundary Light Down Vest - Women's,4.7 out of 5 stars with 3 reviews for MEC Boundary Light Down Vest - Women's
 Camping and hiking,Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Men's,4.1 out of 5 stars with 34 reviews for Arc'teryx Beta SL Hybrid Gore-Tex Jacket - Men's
 Camping and hiking,Honey Stinger Organic Energy Chews Pomegranate,5 out of 5 stars with 10 reviews for Honey Stinger Organic Energy Chews Pomegranate
 Camping and hiking,Salomon OUTline Gore-Tex Trail Shoes - Women's,No reviews yet. Be the first to write a review. Salomon OUTline Gore-Tex Trail Shoes - Women's
 Camping and hiking,Clif Shot Shot Bloks Fast Pak Black Cherry,5 out of 5 stars with 2 reviews for Clif Shot Shot Bloks Fast Pak Black Cherry
 Camping and hiking,Arc'teryx Aerios FL GTX Light Hiking Shoes - Men's,4.5 out of 5 stars with 12 reviews for Arc'teryx Aerios FL GTX Light Hiking Shoes - Men's
 Camping and hiking,MEC Muskoka Soft-Sided Cooler,4.2 out of 5 stars with 4 reviews for MEC Muskoka Soft-Sided Cooler
 Camping and hiking,Arc'teryx Norvan VT 2 Trail Running Shoes - Women's,No reviews yet. Be the first to write a review. Arc'teryx Norvan VT 2 Trail Running Shoes - Women's
 Camping and hiking,Keen Durand II Mid Waterproof Hiking Shoes - Men's,No reviews yet. Be the first to write a review. Keen Durand II Mid Waterproof Hiking Shoes - Men's
 Camping and hiking,Aeropress Coffee & Espresso Maker,4.5 out of 5 stars with 41 reviews for Aeropress Coffee & Espresso Maker
 Camping and hiking,Ooni Pro Wood Fired Pizza Oven,4.8 out of 5 stars with 4 reviews for Ooni Pro Wood Fired Pizza Oven
 Camping and hiking,Keen Terradora Vent Light Trail Shoes - Women's,No reviews yet. Be the first to write a review. Keen Terradora Vent Light Trail Shoes - Women's
 Camping and hiking,Arc'teryx Brize 32 Backpack,4.6 out of 5 stars with 16 reviews for Arc'teryx Brize 32 Backpack
 Camping and hiking,Tepui Explorer Series Ayer 2-Person Rooftop Tent,3.5 out of 5 stars with 2 reviews for Tepui Explorer Series Ayer 2-Person Rooftop Tent
 Camping and hiking,MEC Mistral 30 Backpack - Women's,3.8 out of 5 stars with 9 reviews for MEC Mistral 30 Backpack - Women's
 Camping and hiking,Forsake Patch Waterproof Light Hiking Boots - Women's,4.7 out of 5 stars with 24 reviews for Forsake Patch Waterproof Light Hiking Boots - Women's
 Camping and hiking,Yeti Rambler Colster,4.7 out of 5 stars with 3424 reviews for Yeti Rambler Colster
 Camping and hiking,Eureka Spire Stove,4.2 out of 5 stars with 6 reviews for Eureka Spire Stove
 Camping and hiking,Osprey Talon 33 Backpack - Men's,5 out of 5 stars with 2 reviews for Osprey Talon 33 Backpack - Men's
 Camping and hiking,Keen Targhee III Low Light Trail Shoes - Women's,5 out of 5 stars with 2 reviews for Keen Targhee III Low Light Trail Shoes - Women's
 Camping and hiking,Garmin inReach Mini,4.1 out of 5 stars with 148 reviews for Garmin inReach Mini
 Camping and hiking,MEC Hydrofoil Stretch Jacket - Women's,3.3 out of 5 stars with 7 reviews for MEC Hydrofoil Stretch Jacket - Women's
